場,レース,買い目,推定確率%,オッズ(取得時),回収率%
尼崎,12R,1-6-5,3.14,61.6,193.4
蒲郡,2R,3-1-2,1.94,99.4,193.2
津,6R,1-4-2,8.16,23.6,192.6
平和島,12R,1-2-5,4.91,39.2,192.6
蒲郡,5R,2-1-4,6.07,31.7,192.4
多摩川,2R,1-4-3,3.78,50.7,191.9
平和島,6R,1-4-2,3.07,62.5,191.9
蒲郡,12R,1-5-4,7.37,26.0,191.7
三国,10R,2-1-5,4.51,42.5,191.6
鳴門,2R,3-4-1,2.96,64.6,191.2
びわこ,11R,4-1-3,3.92,48.7,191.1
平和島,7R,1-2-5,5.89,32.4,190.9
蒲郡,3R,1-2-5,4.71,40.5,190.8
蒲郡,2R,1-2-4,2.47,77.1,190.8
平和島,3R,5-3-1,2.75,69.4,190.6
唐津,4R,1-3-4,2.23,85.4,190.4
丸亀,3R,4-2-1,5.74,33.1,190.1
蒲郡,4R,1-3-5,2.47,76.9,190.0
丸亀,4R,1-5-3,6.48,29.3,189.8
多摩川,2R,1-2-4,10.07,18.8,189.4
びわこ,10R,3-1-5,3.60,52.5,189.3
丸亀,9R,4-1-3,2.37,79.9,189.1
宮島,3R,2-1-3,7.02,26.9,188.9
蒲郡,11R,1-3-4,3.75,50.3,188.8
桐生,12R,3-1-2,4.04,46.7,188.8
津,3R,1-4-3,5.38,35.0,188.3
唐津,3R,1-5-3,2.79,67.4,188.1
平和島,2R,1-6-2,2.66,70.4,187.6
鳴門,10R,2-4-1,2.75,68.1,187.5
鳴門,7R,5-1-3,1.89,98.9,187.4
宮島,7R,2-4-1,4.09,45.7,187.1
平和島,1R,2-1-3,5.48,34.1,187.0
桐生,4R,2-1-4,3.57,52.4,186.9
丸亀,9R,3-1-2,6.07,30.8,186.8
桐生,5R,1-5-4,8.61,21.7,186.8
津,11R,5-1-2,6.16,30.3,186.5
鳴門,7R,5-1-2,7.69,24.2,186.2
唐津,6R,1-2-4,7.21,25.8,186.1
丸亀,8R,1-3-2,5.21,35.7,186.0
津,8R,4-1-3,2.33,79.8,185.9
平和島,1R,1-4-2,7.41,25.0,185.2
桐生,10R,2-1-4,14.14,13.1,185.2
津,9R,1-5-2,4.20,44.1,185.1
尼崎,5R,1-4-3,4.78,38.7,185.0
鳴門,11R,1-4-3,7.22,25.6,184.9
桐生,4R,4-1-2,2.46,75.2,184.7
平和島,6R,1-4-5,4.20,44.0,184.7
びわこ,10R,3-1-4,2.39,77.2,184.5
びわこ,6R,1-4-3,4.08,45.2,184.5
鳴門,1R,1-3-2,3.49,52.9,184.5
丸亀,12R,3-1-2,2.66,69.3,184.4
三国,7R,3-2-1,3.30,55.8,184.4
多摩川,5R,2-1-5,6.47,28.5,184.3
蒲郡,3R,2-1-5,3.60,51.1,184.2
蒲郡,11R,1-4-2,11.51,16.0,184.1
蒲郡,8R,1-2-4,13.93,13.2,183.9
津,6R,1-3-4,7.37,24.9,183.5
びわこ,2R,3-1-5,5.30,34.6,183.5
平和島,10R,1-4-5,2.57,71.1,182.6
